Month,Apr'25,,,,,,,,,,May'25,,,,,,,,,,Jun'25,,,,,,,,,,Quarter 1 (April 25 - June 25) (Yet to Update),,,,,,,,,,July'25,,,,,,,,,,Aug'25,,,,,,,,,,Sep'25,,,,,,,,,,Oct'25,,,,,,,,,,Nov'25,,,,,,,,,,Dec'25,,,,,,,,,
Zone,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY   Total,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Pune,Nagpur,Mauda,Gadarwara,Kolkata,Delhi,Gurgaon,Bangalore,Garo,UPAY Average,Pune,Nagpur,Mauda,Gadarwara,Kolkata,Delhi,Gurgaon,Bangalore,Garo,UPAY Summary,Pune,Nagpur,Mauda,Gadarwara,Kolkata,Delhi,Gurgaon,Bangalore,Garo,UPAY Summary
Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Volunteers Count (Monthly attendance>0),14,9,9,5,47,10,7,,4,105,20,16,10,4,44,11,6,,4,14,20,14,15,3,42,17,10,,5,16,18,11,11,4,44,13,8,,4,,18,12,17,5,42,15,6,3,8,14,13,20,19,46,52,19,7,2,9,187,10,16,18,42,55,18,6,4,10,,22,45,48,17,2,11,8,19,7,179,22,52,52,17,2,15,24,12,5,201,16,55,49,14,2,14,19,12,6,187
Monthly Average Volunteers Strength,7,8,10,3,52,5,4,,4,12,7,10,7,3,6,4,3,,4,6,6,15,13,3,32,4,6,,4,10,7,3,10,3,30,4,4,,4,,6,15,9,4,39,7,5,1,7,10,5,11,10,28,44,10,4,1,6,119,7,5,12,27,42,18,4,1,2,,11,30,4,13,1,2,4,3,2,8,13,28,42,10,1,7,12,7,3,123,9,29,44,9,1,2,4,3,2,103
Average Volunteer's  Attendance (%),50%,44%,29%,68%,78%,62%,76%,,92%,62%,54%,60%,72%,80%,67%,55%,36%,,101%,66%,54%,42%,60%,75%,65%,58%,50%,,80%,60%,52%,15%,54%,74%,70%,58%,54%,,91%,,54%,35%,62%,68%,,39%,42%,53%,65%,52%,85%,57%,55%,64%,83%,46%,56%,67%,68%,64%,41%,62%,61%,56%,78%,84%,75%,52%,38%,,50%,60%,78%,54%,64%,52%,52%,56%,64%,59%,54%,51%,75%,70%,61%,48%,56%,52%,67%,59%,#DIV/0!,57%,87%,72%,59%,60%,55%,56%,76%,#DIV/0!
No Community Volunteers,0,0,2,0,36,0,1,,0,5,0,0,4,0,36,0,1,,0,5,0,0,3,0,36,0,1,,0,5,0,1,3,0,36,0,1,,0,,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,2,,2,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,1,4
Community visits of volunteers,5,6,6,12,3,4,0,54,0,10,13,4,3,15,0,4,1,58,0,11,12,0,15,6,11,120,1,,0,21,10,2,8,11,5,43,1,,0,,20,0,1,7,3,3,0,0,0,4,18,0,12,85,3,30,0,2,0,150,39,13,7,37,1,5,0,5,4,,20,31,0,0,3,28,7,0,21,110,21,99,12,0,2,95,18,0,0,247,8,165,13,0,8,45,25,4,0,268
No of Visits at the Center (By External/Internal Members),0,0,1,0,1,1,0,,0,0,0,0,1,0,0,1,1,,0,0,0,0,3,0,1,1,1,,0,1,0,0,2,0,0,1,0,,0,,1,1,2,3,5,11,4,10,5,5,0,0,4,18,81,18,0,10,5,136,2,2,29,27,96,23,2,6,16,,14,13,4,27,12,0,3,13,8,94,30,54,6,32,13,0,6,13,0,154,17,63,116,30,7,0,4,11,14,262
Quarterly Improvement(%),0%,0%,0%,0%,,0%,0%,,5000%,714%,0%,0%,0%,0%,,0%,0%,,5000%,714%,0%,0%,0%,0%,,0%,0%,,5000%,714%,0%,180589%,0%,0%,#DIV/0!,0%,0%,,5000%,,0%,0%,0%,0%,0%,0%,0%,0%,5000%,556%,0%,0%,0%,698%,0%,0%,0%,0%,0%,78%,0%,0%,0%,674%,0%,0%,0%,0%,0%,,51%,651%,40%,-34%,0%,-1%,-5%,0%,129%,92%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12%,6%,-15%,-1%,4%,23%,2%,13%,-23%,NA
Monthly Expenditure (INR),0,1779,0,0,,0,0,,0,1779,0,1518,0,0,,0,0,,0,1518,2098,3900,0,0,,0,0,,2515,8513,2098,1779,0,0,0,0,0,,2515,,0,5250,0,0,0,0,0,1092,0,705,0,0,0,0,0,0,0,460,0,460,1200,0,0,0,0,0,0,516,0,,0,0,0,0,482,3400,0,0,0,3882,0,0,2507,0,13315,1450,13940,13000,0,44212,11627,7500,6915,2700,800,17708,13840,13000,4694,78784
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studnets Enrolled in NIOS (%),0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,#DIV/0!,0%,0%,,0%,,0%,,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0%,0%,0%
