Month,Apr'25,,,,,,,,,,May'25,,,,,,,,,,Jun'25,,,,,,,,,,Quarter 1 (April 25 - June 25) (Yet to Update),,,,,,,,,,July'25,,,,,,,,,,Aug'25,,,,,,,,,,Sep'25,,,,,,,,,,Oct'25,,,,,,,,,,Nov'25,,,,,,,,,,Dec'25,,,,,,,,,
Zone,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY   Total,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Pune,Nagpur,Mauda,Gadarwara,Kolkata,Delhi,Gurgaon,Bangalore,Garo,UPAY Average,Pune,Nagpur,Mauda,Gadarwara,Kolkata,Delhi,Gurgaon,Bangalore,Garo,UPAY Summary,Pune,Nagpur,Mauda,Gadarwara,Kolkata,Delhi,Gurgaon,Bangalore,Garo,UPAY Summary
Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centralized test (Q) (%),0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,1,0,2,1,0,0,0,0,,0,,0%,100%,75%,88%,0%,33%,0%,0%,0%,33%,0%,0%,0%,0%,79%,0%,0%,0%,0%,9%,100%,100%,75%,88%,86%,100%,100%,100%,100%,,50%,0%,0%,0%,100%,0%,0%,33%,0%,20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Syllabus completion( %),0%,100%,75%,43%,0%,67%,100%,0%,50%,48%,0%,100%,75%,0%,0%,67%,0%,0%,50%,32%,0%,67%,100%,0%,0%,100%,0%,0%,50%,35%,0%,33%,83%,14%,0%,78%,33%,,50%,,0%,100%,75%,13%,0%,33%,0%,100%,50%,41%,0%,0%,100%,25%,18%,87%,0%,50%,100%,42%,70%,97%,50%,50%,36%,93%,80%,80%,55%,,100%,0%,0%,52%,89%,78%,87%,42%,90%,60%,48%,270%,0%,45%,97%,85%,98%,90%,95%,92%,80%,70%,78%,61%,96%,85%,100%,96%,50%,79%
IMC Visits (Q) (%),0%,0%,0%,43%,900%,0%,0%,0%,0%,105%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,67%,0%,14%,300%,0%,0%,,0%,,0%,0%,25%,0%,82%,0%,0%,0%,0%,12%,0%,0%,0%,50%,45%,0%,0%,0%,0%,11%,50%,100%,0%,25%,0%,100%,100%,100%,0%,,0%,0%,0%,0%,0%,0%,0%,33%,100%,15%,0%,900%,0%,0%,0%,0%,0%,0%,100%,111%,0%,100%,0%,100%,100%,67%,67%,100%,100%,70%
PMC  Visits (Q) (%),0%,0%,0%,14%,0%,0%,0%,,0%,2%,0%,100%,0%,0%,0%,0%,0%,,0%,13%,0%,100%,0%,14%,0%,0%,0%,0%,0%,13%,0%,67%,0%,10%,0%,0%,0%,,0%,,0%,100%,0%,50%,0%,0%,0%,0%,0%,17%,0%,0%,0%,13%,0%,0%,0%,0%,0%,1%,50%,100%,0%,88%,0%,100%,100%,100%,0%,,0%,0%,0%,0%,0%,0%,0%,33%,100%,15%,0%,38%,0%,0%,0%,0%,0%,0%,100%,15%,0%,100%,0%,100%,100%,67%,67%,100%,100%,70%
LMC Visits (Q) (%),0%,100%,0%,0%,0%,0%,0%,,0%,13%,0%,100%,0%,0%,0%,0%,0%,,0%,13%,0%,100%,0%,14%,0%,0%,0%,0%,0%,13%,0%,133%,0%,5%,0%,0%,0%,,0%,,0%,100%,0%,63%,0%,33%,0%,0%,0%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,0%,0%,NA,NA,NA,NA,NA,NA,0%,NA,0%,0%,NA,NA,NA,NA,NA,NA,0%
Monthly Sanitary pad distributed(Number),0,3,0,0,0,1,1,0,0,1,2,2,0,0,0,1,1,1,0,1,0,1,2,0,0,1,1,1,0,1,1,1,1,0,0,1,1,,0,,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,84,0,0,0,89,0,22,0,1,0,30,0,2,0,,0,0,0,50,1,0,18,84,0,153,128,17,0,13,1,0,24,0,0,183,30,6,0,0,0,0,11,0,0,47
Educational Visit (Y) (%),0%,0%,100%,14%,0%,0%,0%,0%,0%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,67%,33%,5%,0%,0%,0%,,0%,,0%,0%,50%,0%,0%,33%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,67%,0%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baseline Assessment (Y) (%),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,11%,200%,200%,400%,0%,0%,33%,100%,0%,50%,109%,67%,0%,133%,33%,0%,11%,33%,,17%,,33%,33%,100%,0%,0%,67%,0%,100%,0%,37%,0%,0%,0%,25%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Foundation Course (Y) (%),0%,200%,100%,14%,0%,0%,0%,0%,0%,35%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,200%,0%,100%,0%,100%,0%,100%,0%,0%,56%,67%,100%,67%,5%,33%,0%,33%,,0%,,33%,0%,50%,0%,82%,0%,100%,100%,0%,41%,0%,0%,100%,0%,0%,0%,50%,100%,0%,28%,0%,0%,50%,0%,0%,0%,0%,100%,0%,,100%,0%,0%,0%,0%,0%,0%,67%,0%,19%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Survey (Y) (%),100%,100%,50%,57%,0%,33%,0%,0%,50%,43%,100%,67%,50%,0%,0%,33%,50%,0%,0%,33%,100%,33%,100%,38%,9%,67%,100%,0%,0%,50%,100%,33%,67%,32%,3%,44%,50%,,17%,,67%,0%,100%,100%,73%,0%,0%,,0%,42%,67%,0%,75%,13%,0%,0%,0%,0%,0%,17%,50%,0%,25%,0%,0%,0%,0%,0%,0%,,50%,0%,0%,0%,0%,100%,0%,0%,0%,17%,0%,0%,0%,0%,0%,100%,0%,0%,0%,11%,0%,0%,0%,0%,0%,100%,0%,50%,0%,17%
Career Oriented Courses Number),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Career Counselling (Number),0,1,1,,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,,0,,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,4.875,0,0,2,0,0,0,,0,0,,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,3
No of Exceptions Raised upto Current Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,25,13,29,2,3,3,22,1,12,9,23,13,31,2,4,9,22,1,13
No of Exceptions Resolved/Terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,18,9,29,2,1,3,14,0,9,4,16,9,28,2,1,9,15,0,9
Exception Resolved (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63%,72%,69%,100%,100%,33%,100%,64%,0%,67%,44%,70%,69%,90%,100%,25%,100%,68%,0%,63%
Performance  Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
